snapshot,SE-N hydro,SE-S hydro,NO-N hydro,NO-S hydro,FI hydro
2023-01-20 15:00:00,15784532.878026137,4509553.735560782,35418805.07183945,40331591.32258081,1089067.238980893
2023-01-20 18:00:00,15780738.344212411,4511197.01621078,35415227.827354826,40310992.90628613,1085830.6345644703
2023-01-20 21:00:00,15776943.810398685,4495153.590758469,35413366.79251133,40314473.5130008,1086920.7182946086
2023-01-21 00:00:00,15773134.550692324,4500113.220758626,35413027.093926184,40299828.32574112,1088052.8070346562
2023-01-21 03:00:00,15769325.290985962,4485921.778135661,35413953.39934094,40304778.349704355,1087555.9622692845
2023-01-21 06:00:00,15765516.031279601,4469881.408135818,35414930.486260876,40306590.295735665,1082945.141581503
2023-01-21 09:00:00,15761706.77157324,4464987.705478044,35419069.79276147,40286555.7878974,1080107.5363811592
2023-01-21 12:00:00,15757897.511866879,4448947.3354782015,35427840.02838291,40278860.12527329,1075496.7156933777
2023-01-21 15:00:00,15754088.252160517,4432906.965478359,35438784.94447513,40270044.76882676,1070885.895005596
2023-01-21 18:00:00,15750278.992454156,4435518.481339723,35451263.54655344,40250935.95332812,1066275.0743178145
2023-01-21 21:00:00,15746469.732747795,4440478.11133988,35462085.8193842,40236799.03729573,1061664.253630033
2023-01-22 00:00:00,15742644.701649128,4425025.378528893,35469444.20225712,40242888.32995723,1059741.5220877877
2023-01-22 03:00:00,15738819.67055046,4429988.2550348705,35476817.533385105,40230585.75450242,1055782.4107268048
2023-01-22 06:00:00,15734994.639451792,4434951.131540848,35485223.86710614,40213830.04134507,1051546.261018865
2023-01-22 09:00:00,15731479.764863903,4418914.008046825,35488347.43346905,40216307.84509837,1046931.6013456649
2023-01-22 12:00:00,15731087.656955022,4402876.884552803,35491401.18354642,40216903.37162592,1044030.0547989652
2023-01-22 15:00:00,15732159.02736257,4386839.76105878,35497988.55433866,40214000.18240724,1041071.158949771
2023-01-22 18:00:00,15734357.42906833,4370802.637564758,35507980.3837758,40213132.987195164,1040108.9222299438
2023-01-22 21:00:00,15736747.230628917,4354765.514070735,35520322.01183957,40218051.84459441,1041213.5160600501
2023-01-23 00:00:00,15736594.146670755,4338931.769525748,35536126.06322111,40224793.14335627,1046194.8490176764
2023-01-23 03:00:00,15733215.448544396,4322898.093694773,35551230.2636073,40230334.067750014,1046815.646602169
2023-01-23 06:00:00,15729373.605227156,4318568.398792313,35565487.547163114,40209115.91438747,1047848.5826142076
2023-01-23 09:00:00,15725531.761909915,4302534.722961338,35578572.65504981,40207578.7397527,1043229.915571834
2023-01-23 12:00:00,15722111.591016037,4286501.047130363,35592427.74914258,40202988.42808346,1043744.3015843931
2023-01-23 15:00:00,15719479.146993725,4270467.371299388,35608415.54510294,40203519.427532904,1039125.6345420195
2023-01-23 18:00:00,15720258.33155179,4254433.695468413,35622454.83204782,40206924.33324246,1038508.4497374559
2023-01-23 21:00:00,15722471.290982887,4242256.005269901,35638618.25825664,40213666.20150354,1041030.4400558098
2023-01-24 00:00:00,15724997.724812193,4240700.093361784,35649867.40417465,40222706.214735664,1037120.6376530874
2023-01-24 03:00:00,15725915.309695821,4231134.8003263995,35653725.17284334,40231118.935297534,1037255.7878145005
2023-01-24 06:00:00,15723040.13147158,4215436.754215053,35656918.12043833,40234688.39077781,1034613.046556898
2023-01-24 09:00:00,15719180.440091321,4199406.736459137,35666015.39900681,40238501.61581064,1031159.2787997912
2023-01-24 12:00:00,15715320.748711063,4183376.7187032206,35677327.05494119,40241755.87577329,1027098.0667033251
2023-01-24 15:00:00,15713211.96767176,4169059.3258998143,35693490.603898406,40246573.36737169,1023856.8479422646
2023-01-24 18:00:00,15716390.956182793,4156732.9900923898,35709654.15285562,40256537.0558962,1023337.0937207864
2023-01-24 21:00:00,15722274.97692015,4149481.2111912607,35723758.35327561,40271842.03186927,1027140.3421549948
2023-01-25 00:00:00,15729039.510938747,4154455.070225886,35737977.4072893,40283599.10658766,1032113.1613124331
2023-01-25 03:00:00,15735298.86458015,4159428.9292605114,35750720.56713755,40292270.908398375,1036096.9504320893
2023-01-25 06:00:00,15739992.219544118,4145966.0911639147,35764114.05267053,40307172.05783957,1037820.9576568423
2023-01-25 09:00:00,15743730.676101316,4150939.95019854,35780277.07834799,40305805.66241056,1039549.1916177466
2023-01-25 12:00:00,15746066.238847556,4136078.03710894,35795653.314848125,40322247.580092095,1041442.1046460512
2023-01-25 15:00:00,15747984.264535071,4120051.8961435654,35806159.43308258,40333550.23507396,1042807.3459875396
2023-01-25 18:00:00,15747318.346204847,4104089.482937464,35812514.15340818,40342932.37243343,1044781.4594449459
2023-01-25 21:00:00,15745752.292937364,4091819.7733337856,35822096.4386601,40354323.34629809,1045803.9507522688
2023-01-26 00:00:00,15745524.497178268,4083177.4234946393,35830370.1742987,40367548.43668524,1046302.9800179243
2023-01-26 03:00:00,15746807.909189265,4071363.3608566336,35837047.32252394,40379987.29607951,1043708.2571690293
2023-01-26 06:00:00,15746717.174089497,4055341.322646458,35840856.88995467,40382912.86994833,1039076.5731916885
2023-01-26 09:00:00,15745703.648887761,4039319.2844362827,35844063.6560662,40389371.70046189,1035520.5575270946
2023-01-26 12:00:00,15743862.565919256,4023297.2462261072,35843107.12936964,40398765.53905122,1032619.3773806844
2023-01-26 15:00:00,15742233.690636542,4007311.7690006807,35840379.24328509,40402721.10225854,1030796.6037748613
2023-01-26 18:00:00,15740056.650236452,4012289.730790505,35835963.63025562,40389920.870517224,1030220.2004891796
2023-01-26 21:00:00,15737970.655512685,4005344.6288683936,35836284.56210035,40395864.96424441,1028989.3808462265
2023-01-27 00:00:00,15735453.981139323,3993262.387639131,35841541.023922436,40404489.86989795,1026773.2292937409
2023-01-27 03:00:00,15731929.30351156,3997428.0645251367,35850428.86785445,40388750.87609761,1022972.3944716032
2023-01-27 06:00:00,15728054.532423748,3981410.3611266376,35862935.118629865,40379949.56988823,1021273.964398534
2023-01-27 09:00:00,15725808.028561406,3980723.986211549,35877087.81117313,40360457.32991575,1020558.2418723492
2023-01-27 12:00:00,15723578.53143673,3964706.28281305,35892016.535637945,40359650.798521064,1020517.4435624549
2023-01-27 15:00:00,15722938.372550145,3964955.7538998057,35906782.37928964,40341019.52190066,1019680.4358124156
2023-01-27 18:00:00,15724308.518922811,3969938.0505013065,35922108.84840565,40323973.66980124,1020181.0667784133
2023-01-27 21:00:00,15728183.162753118,3957514.759992368,35938155.22665401,40331733.50021901,1022348.8708413492
2023-01-28 00:00:00,15731614.976061983,3962501.628294125,35953956.26721621,40328226.31453788,1026256.5816352103
2023-01-28 03:00:00,15734835.311676396,3954716.8740353957,35967853.030663006,40340854.79237301,1029653.5090507253
2023-01-28 06:00:00,15737859.485505695,3944797.4183204747,35980595.96474226,40354318.27551017,1031543.5079543316
2023-01-28 09:00:00,15740906.305773895,3931824.486127257,35993766.401984386,40369375.02716126,1031677.5256985503
2023-01-28 12:00:00,15744580.122250734,3918618.705176841,36004824.60958279,40386647.852095716,1031579.5205601404
2023-01-28 15:00:00,15748756.258294024,3902958.931187894,36015410.17524694,40401016.61573729,1030433.0207699627
2023-01-28 18:00:00,15753123.090391388,3889516.1285348567,36028020.38021775,40417406.068002164,1031653.4994849748
2023-01-28 21:00:00,15756887.988540413,3887829.0407324694,36038796.547457986,40428625.33612081,1034522.9758546161
2023-01-29 00:00:00,15759275.098468615,3880548.4498839197,36048057.97997268,40448492.75163963,1038540.851166817
2023-01-29 03:00:00,15760737.391935633,3874569.3161789887,36058934.70472663,40468531.30090189,1042000.3581951457
2023-01-29 06:00:00,15761482.200422782,3879560.9965410936,36072609.38934687,40474421.610838406,1042007.1557921292
2023-01-29 09:00:00,15761158.55428931,3875607.8924596207,36084706.37908389,40495756.22692942,1039648.2636943016
2023-01-29 12:00:00,15759039.70007561,3875531.8446080172,36094558.20690863,40517293.8773526,1038504.1110564242
2023-01-29 15:00:00,15757387.911605652,3873811.899469467,36099107.79836075,40538608.113648355,1039536.2212851476
2023-01-29 18:00:00,15756076.263627443,3878803.579831572,36103366.39388038,40560454.67520795,1041180.6322377551
2023-01-29 21:00:00,15759602.219426798,3883795.2601936767,36112150.03494771,40583916.63119073,1044589.6385997023
2023-01-30 00:00:00,15775086.406612905,3888791.994988598,36122092.89756363,40621272.563743725,1049538.3442780278
2023-01-30 03:00:00,15783099.98954499,3893788.729783519,36131585.92245015,40656885.72904796,1052371.9677706829
2023-01-30 06:00:00,15779335.060906626,3894200.652039507,36140681.096090905,40675571.21056731,1047720.6734490084
2023-01-30 09:00:00,15777615.8168835,3896740.21431454,36149493.72787491,40695342.252477646,1043069.3791273339
2023-01-30 12:00:00,15778549.22915202,3901736.949109461,36157659.814531505,40713976.30018572,1039521.2025687618
2023-01-30 15:00:00,15781623.35868802,3906733.6839043824,36164130.48454596,40728987.591661945,1036524.0264849054
2023-01-30 18:00:00,15785401.181479396,3909756.524555441,36170287.111050375,40748024.118338846,1035365.4332756159
2023-01-30 21:00:00,15789023.62676512,3914753.2593503622,36175885.83299275,40767657.1340357,1035997.4010725453
2023-01-31 00:00:00,15792116.252310872,3913313.9912704336,36182869.2320975,40789012.05234359,1037962.7265060843
2023-01-31 03:00:00,15792952.57352801,3918316.0233285394,36189514.380683795,40792376.12624188,1036607.2111630605
2023-01-31 06:00:00,15790496.117736218,3902318.0553866453,36191507.55322519,40802593.29367446,1031950.6254756893
2023-01-31 09:00:00,15786482.968787728,3894149.520137358,36187177.37569908,40811083.653305,1027294.0397883181
2023-01-31 12:00:00,15782469.819839237,3882099.395801277,36178700.1588085,40828002.265296526,1022637.4541009469
2023-01-31 15:00:00,15778456.670890747,3866649.22919044,36170767.15491635,40844384.79114689,1017980.8684135757
2023-01-31 18:00:00,15774443.521942256,3871651.2612485457,36164674.13139109,40843897.22528495,1013324.2827262045
2023-01-31 21:00:00,15770430.372993765,3864890.600573333,36159790.45179239,40863895.018022135,1010267.5288077408
2023-02-01 00:00:00,15766391.305053705,3860040.6637749514,36153452.70577923,40885770.00027942,1007849.2719691915
2023-02-01 03:00:00,15762352.237113645,3850293.8989894395,36145600.23666826,40906414.553961225,1003372.7852471161
2023-02-01 06:00:00,15758313.169173585,3834301.4699532795,36135899.94401674,40915170.79054733,998710.7574706662
2023-02-01 09:00:00,15754274.101233525,3818564.078941745,36125792.62580127,40929553.88881899,994048.7296942163
2023-02-01 12:00:00,15750235.033293465,3803236.9292906863,36115765.62478743,40946011.253706284,989386.7019177664
2023-02-01 15:00:00,15746195.965353405,3788573.1412797086,36105706.961405106,40958874.29725333,984724.6741413164
2023-02-01 18:00:00,15742156.897413345,3775373.358408799,36095628.107313566,40975124.47521444,980062.6463648665
